model,state,theta_0,theta_j,d_0,d_j,num_base_tables,num_unique_dishes
Independent,sci.space,302.23 ± 16.77,1301.96 ± 74.80,0.0040 ± 0.0042,0.0266 ± 0.0259,203.0,203.0
Independent,soc.religion.christian,302.54 ± 18.09,1313.18 ± 75.15,0.0041 ± 0.0042,0.0288 ± 0.0284,205.0,205.0
Independent,alt.atheism,311.47 ± 19.21,1310.89 ± 86.97,0.0033 ± 0.0033,0.0299 ± 0.0283,211.0,211.0
Independent,sci.med,287.98 ± 17.00,1315.28 ± 77.83,0.0039 ± 0.0037,0.0295 ± 0.0287,190.0,190.0
Independent,talk.politics.guns,311.11 ± 18.57,1317.24 ± 81.95,0.0042 ± 0.0038,0.0296 ± 0.0276,212.0,212.0
Independent,rec.motorcycles,234.27 ± 15.55,1296.43 ± 82.23,0.0044 ± 0.0047,0.0302 ± 0.0302,138.0,138.0
Dependent,ALL (shared),277.25 ± 11.11,280.73 ± 12.53,0.0017 ± 0.0018,0.0022 ± 0.0020,623.0,623.0
